Date,Formatted Date
1/2/13,"Wednesday, January 02, 2013"
1/3/13,"Thursday, January 03, 2013"
1/4/13,"Friday, January 04, 2013"
1/5/13,"Saturday, January 05, 2013"
1/6/13,"Sunday, January 06, 2013"
1/7/13,"Monday, January 07, 2013"
1/8/13,"Tuesday, January 08, 2013"
1/9/13,"Wednesday, January 09, 2013"
1/10/13,"Thursday, January 10, 2013"
1/11/13,"Friday, January 11, 2013"
1/12/13,"Saturday, January 12, 2013"
1/13/13,"Sunday, January 13, 2013"
1/14/13,"Monday, January 14, 2013"
1/15/13,"Tuesday, January 15, 2013"
1/16/13,"Wednesday, January 16, 2013"
1/17/13,"Thursday, January 17, 2013"
1/18/13,"Friday, January 18, 2013"
1/19/13,"Saturday, January 19, 2013"
1/20/13,"Sunday, January 20, 2013"
1/21/13,"Monday, January 21, 2013"
1/22/13,"Tuesday, January 22, 2013"
1/23/13,"Wednesday, January 23, 2013"
1/24/13,"Thursday, January 24, 2013"
1/25/13,"Friday, January 25, 2013"
1/26/13,"Saturday, January 26, 2013"
1/27/13,"Sunday, January 27, 2013"
1/28/13,"Monday, January 28, 2013"
1/29/13,"Tuesday, January 29, 2013"
1/30/13,"Wednesday, January 30, 2013"
1/31/13,"Thursday, January 31, 2013"
2/1/13,"Friday, February 01, 2013"
2/2/13,"Saturday, February 02, 2013"
2/3/13,"Sunday, February 03, 2013"
2/4/13,"Monday, February 04, 2013"
2/5/13,"Tuesday, February 05, 2013"
2/6/13,"Wednesday, February 06, 2013"
2/7/13,"Thursday, February 07, 2013"
2/8/13,"Friday, February 08, 2013"
2/9/13,"Saturday, February 09, 2013"
2/10/13,"Sunday, February 10, 2013"
2/11/13,"Monday, February 11, 2013"
2/12/13,"Tuesday, February 12, 2013"
2/13/13,"Wednesday, February 13, 2013"
2/14/13,"Thursday, February 14, 2013"
2/15/13,"Friday, February 15, 2013"
2/16/13,"Saturday, February 16, 2013"
2/17/13,"Sunday, February 17, 2013"
2/18/13,"Monday, February 18, 2013"
2/19/13,"Tuesday, February 19, 2013"
2/20/13,"Wednesday, February 20, 2013"
2/21/13,"Thursday, February 21, 2013"
2/22/13,"Friday, February 22, 2013"
2/23/13,"Saturday, February 23, 2013"
2/24/13,"Sunday, February 24, 2013"
2/25/13,"Monday, February 25, 2013"
2/26/13,"Tuesday, February 26, 2013"
2/27/13,"Wednesday, February 27, 2013"
2/28/13,"Thursday, February 28, 2013"
3/1/13,"Friday, March 01, 2013"
3/2/13,"Saturday, March 02, 2013"
3/3/13,"Sunday, March 03, 2013"
3/4/13,"Monday, March 04, 2013"
3/5/13,"Tuesday, March 05, 2013"
3/6/13,"Wednesday, March 06, 2013"
3/7/13,"Thursday, March 07, 2013"
3/8/13,"Friday, March 08, 2013"
3/9/13,"Saturday, March 09, 2013"
3/10/13,"Sunday, March 10, 2013"
3/11/13,"Monday, March 11, 2013"
3/12/13,"Tuesday, March 12, 2013"
3/13/13,"Wednesday, March 13, 2013"
3/14/13,"Thursday, March 14, 2013"
3/15/13,"Friday, March 15, 2013"
3/16/13,"Saturday, March 16, 2013"
3/17/13,"Sunday, March 17, 2013"
3/18/13,"Monday, March 18, 2013"
3/19/13,"Tuesday, March 19, 2013"
3/20/13,"Wednesday, March 20, 2013"
3/21/13,"Thursday, March 21, 2013"
3/22/13,"Friday, March 22, 2013"
3/23/13,"Saturday, March 23, 2013"
3/24/13,"Sunday, March 24, 2013"
3/25/13,"Monday, March 25, 2013"
3/26/13,"Tuesday, March 26, 2013"
3/27/13,"Wednesday, March 27, 2013"
3/28/13,"Thursday, March 28, 2013"
3/29/13,"Friday, March 29, 2013"
3/30/13,"Saturday, March 30, 2013"
3/31/13,"Sunday, March 31, 2013"
